mean(),METHOD_INVOCATION, line no: 68,m2-=(x - mean) * (x - old_mean),ASSIGNMENT, line no: 58, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,(x - mean) * (x - old_mean),INFIX_EXPRESSION, line no: 58, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,(x - old_mean),PARENTHESIZED_EXPRESSION, line no: 58, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,x - old_mean,INFIX_EXPRESSION, line no: 58, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,mean=old_mean,ASSIGNMENT, line no: 59, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,--n,PREFIX_EXPRESSION, line no: 60, 0.8, 0.8, 0.0
mean,SIMPLE_NAME, line no: 68,reset(),METHOD_INVOCATION, line no: 33, 0.6666666666666666, 0.5, 0.0
mean,SIMPLE_NAME, line no: 68,n > 1,INFIX_EXPRESSION, line no: 72, 0.6666666666666666, 0.6666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,1,NUMBER_LITERAL, line no: 72, 0.6666666666666666, 0.6666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,(n - 1),PARENTHESIZED_EXPRESSION, line no: 72, 0.6666666666666666, 0.6666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,n - 1,INFIX_EXPRESSION, line no: 72, 0.6666666666666666, 0.6666666666666666, 0.0
mean(),METHOD_INVOCATION, line no: 68,0.d,NUMBER_LITERAL, line no: 38, 0.6, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,n > 1 ? (m2 / (n - 1)) : 0.d,CONDITIONAL_EXPRESSION, line no: 72, 0.6, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,n > 1,INFIX_EXPRESSION, line no: 72, 0.6, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,1,NUMBER_LITERAL, line no: 72, 0.6, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,(m2 / (n - 1)),PARENTHESIZED_EXPRESSION, line no: 72, 0.6, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,m2 / (n - 1),INFIX_EXPRESSION, line no: 72, 0.6, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,(n - 1),PARENTHESIZED_EXPRESSION, line no: 72, 0.6, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,n - 1,INFIX_EXPRESSION, line no: 72, 0.6, 0.6, 0.0
mean,SIMPLE_NAME, line no: 68,this.n=0L,ASSIGNMENT, line no: 37, 0.3333333333333333, 0.3333333333333333, 0.0
mean,SIMPLE_NAME, line no: 68,this.n,FIELD_ACCESS, line no: 37, 0.3333333333333333, 0.3333333333333333, 0.0
mean,SIMPLE_NAME, line no: 68,this,THIS_EXPRESSION, line no: 37, 0.3333333333333333, 0.3333333333333333, 0.0
mean,SIMPLE_NAME, line no: 68,++n,PREFIX_EXPRESSION, line no: 43, 0.3333333333333333, 0.3333333333333333, 0.0
mean(),METHOD_INVOCATION, line no: 68,hivemall,SIMPLE_NAME, line no: 21, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,common,SIMPLE_NAME, line no: 21, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,OnlineVariance,SIMPLE_NAME, line no: 26, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,this.n=0L,ASSIGNMENT, line no: 37, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,this.n,FIELD_ACCESS, line no: 37, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,this,THIS_EXPRESSION, line no: 37, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,this.mean=0.d,ASSIGNMENT, line no: 38, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,this.mean,FIELD_ACCESS, line no: 38, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,this.m2=0.d,ASSIGNMENT, line no: 39, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,this.m2,FIELD_ACCESS, line no: 39, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,handle,SIMPLE_NAME, line no: 42, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,++n,PREFIX_EXPRESSION, line no: 43, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,mean+=delta / n,ASSIGNMENT, line no: 45, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,delta / n,INFIX_EXPRESSION, line no: 45, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,m2+=delta * (x - mean),ASSIGNMENT, line no: 46, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,delta * (x - mean),INFIX_EXPRESSION, line no: 46, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,unhandle,SIMPLE_NAME, line no: 49, 0.2, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,numSamples,SIMPLE_NAME, line no: 63, 0.2, 0.2, 0.0
mean,SIMPLE_NAME, line no: 68,hivemall,SIMPLE_NAME, line no: 21, 0.16666666666666666, 0.16666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,common,SIMPLE_NAME, line no: 21, 0.16666666666666666, 0.16666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,OnlineVariance,SIMPLE_NAME, line no: 26, 0.16666666666666666, 0.16666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,handle,SIMPLE_NAME, line no: 42, 0.16666666666666666, 0.16666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,unhandle,SIMPLE_NAME, line no: 49, 0.16666666666666666, 0.16666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,numSamples,SIMPLE_NAME, line no: 63, 0.16666666666666666, 0.16666666666666666, 0.0
